"count";"taxontreedefid";"rank_";"taxon_full_name"
1;13;genus;(Pall. ex Pursh) G.L.Nesom & G.I.Baird 
1;13;genus;(Pursh) Nutt.
1;13;genus;(Regel & Kisrn.) Eichler
1;13;genus;(Rydb.) W.A.Weber & C.Lisve 
1;13;genus;(S.F.Blake) Cuatrec. 
1;13;genus;(S.F.Blake)Cuatrec.
1;13;genus;(Satake)A.Prajaksood & J.Parn.
1;13;genus;(Setch.) Hartog
1;13;genus;(Speg.) Al-Shehbaz
1;13;genus;(Spruce)Schiffner
1;13;genus;(Stapf) Van Eselt.
1;13;genus;(T.Moore) Parris
1;13;genus;(Urb.) Cuatrec.
1;13;genus;(Weston) Decne. & Naudin
1;13;genus;(Wight & Arn.) Hook.f
1;13;genus;(Willd.) C. Presl
1;13;genus;A. Berger
1;13;genus;A. Juss.
1;13;genus;A. Rich.
1;13;genus;A.C. Sm.
1;13;genus;A.Chev.
1;13;genus;A.D. Poulsen & Mathisen
1;13;genus;A.Gray) Benth.
1;13;genus;A.J.Scott
1;13;genus;A.N. Egan & Reveal
1;13;genus;A.N.Egan & B.Pan
1;13;genus;A.Nelson
1;13;genus;A.R.Sm.
1;13;genus;A.Rich.
1;13;genus;A.St.-Hil.
1;13;genus;A.Vasco, Sylvestre, R.C.Moran & Rouhan
1;13;genus;A.Weber & B.L.Burtt
1;13;genus;Abarema
1;13;genus;Abelia
1;13;genus;Abelmoschus
1;13;genus;Abies
1;13;genus;Abietinella
1;13;genus;Abildgaardia
1;13;genus;Abortiporus
1;13;genus;Abrotanella
1;13;genus;Abrus
1;13;genus;Abuta
1;13;genus;Abutilon
1;13;genus;Acacia
1;13;genus;Acaciella
1;13;genus;Acaena
1;13;genus;Acalypha
1;13;genus;Acalyphe
1;13;genus;Acampe
1;13;genus;Acanthephippium
1;13;genus;Acanthocereus
1;13;genus;Acantholimon
1;13;genus;Acanthopale
1;13;genus;Acanthophyllum
1;13;genus;Acanthosicyos
1;13;genus;Acanthospermum
1;13;genus;Acanthosyris
1;13;genus;Acanthus
1;13;genus;Acarospora
1;13;genus;Acer
1;13;genus;Aceras
1;13;genus;Achatocarpus
1;13;genus;Achillea
1;13;genus;Achimenes
1;13;genus;Achyranthea
1;13;genus;Achyranthes
1;13;genus;Achyrocline
1;13;genus;Achyrospermum
1;13;genus;Aciachne
1;13;genus;Acidodontium
1;13;genus;Acidoton
1;13;genus;Acinos
1;13;genus;Acioa
1;13;genus;Aciotis
1;13;genus;Acis
1;13;genus;Acisanthera
1;13;genus;Ackama
1;13;genus;Acleisanthes
1;13;genus;Aclisia
1;13;genus;Acmella
1;13;genus;Acmena
1;13;genus;Acnistus
1;13;genus;Acnites
1;13;genus;Acoelorrhaphe
1;13;genus;Acokanthera
1;13;genus;Acoraceae
1;13;genus;Acorales
1;13;genus;Acorus
1;13;genus;Acosmium
1;13;genus;Acranthera
1;13;genus;Acridocarpus
1;13;genus;Acriopsis
1;13;genus;Acritochaete
1;13;genus;Acrocarpus
1;13;genus;Acroceras
1;13;genus;Acrocomia
1;13;genus;Acrocryphaea
1;13;genus;Acrodontium
1;13;genus;Acronia
1;13;genus;Acronychia
1;13;genus;Acrophorus
1;13;genus;Acrophyllum
1;13;genus;Acroporium
1;13;genus;Acrorumohra
1;13;genus;Acroschisma
1;13;genus;Acrosorus
1;13;genus;Acrostichum
1;13;genus;Acrotome
1;13;genus;Acrotrema
1;13;genus;Actaea
1;13;genus;Actephila
1;13;genus;Actinidia
1;13;genus;Actiniopteris
1;13;genus;Actinorhytis
1;13;genus;Actinoschoenus
1;13;genus;Actinoscirpus
1;13;genus;Actinostemma
1;13;genus;Actinostemon
1;13;genus;Ada
1;13;genus;Adansonia
1;13;genus;Adelanthus
1;13;genus;Adelobotrys
1;13;genus;Adelonema
1;13;genus;Adelostigma
1;13;genus;Adenanthera
1;13;genus;Adenaria
1;13;genus;Adenia
1;13;genus;Adenium
1;13;genus;Adenocalymma
1;13;genus;Adenocalymna
1;13;genus;Adenocarpus
1;13;genus;Adenophaedra
1;13;genus;Adenophora
1;13;genus;Adenophorus
1;13;genus;Adenopus
1;13;genus;Adenosma
1;13;genus;Adenostema
1;13;genus;Adenostemma
1;13;genus;Adenostyles
1;13;genus;Adesmia
1;13;genus;Adhatoda
1;13;genus;Adianthum
1;13;genus;Adiantopsis
1;13;genus;Adina
1;13;genus;Adonidia
1;13;genus;Adonis
1;13;genus;Adoxa
