dassco:taxonID	dassco:name	dassco:author	dassco:fullname	dassco:epithet	dassco:rankid	dassco:extinct	dwc:taxonID	dwc:scientificName	dwc:scientificNameAuthorship	dwc:parentNameUsageID	dwc:parentNameUsage	dwc:acceptedNameUsageID	dwc:acceptedNameUsage	dwc:taxonomicStatus	dwc:taxonRank	sp:taxonID	sp:fullname	sp:author	sp:rankid	sp:rankname	sp:parentname	sp:taxonnr	sp:taxonnrsource
0b594c9bdce101f1b54d0898db0e8e0f	Bonafousia undulata	(Vahl) Markgr.	Bonafousia undulata (Vahl) Markgr.		220	false										6174199	Bonafousia undulata (Vahl) Markgr.		220	Species	Bonafousia		
84529c3169bd2d649b26467dde69637d	Bonatea anaspora		Bonatea anaspora 		220	false										6183289	Bonatea anaspora		220	Species	Bonatea		
7c30149fb7dc3b5df605cb8add639c6a	Borago laxiflora	Hornem.	Borago laxiflora Hornem.		220	false										6119861	Borago laxiflora Hornem.		220	Species	Borago		
db45e0f9758d5d30309717eb81fb9cac	Borreria scabra	Sw.	Borreria scabra Sw.		220	false										6116912	Borreria scabra Sw.		220	Species	Borreria		
50f3fb6f2d485e380c30f29e14e6c3b7	Borreria verticillata	(L.) G. Mey	Borreria verticillata (L.) G. Mey		220	false										6117216	Borreria verticillata (L.) G. Mey		220	Species	Borreria		
80cc73e78de4ee1e467aac117cd44a84	Botrychium boreale	J. Milde	Botrychium boreale J. Milde		220	false										6128857	Botrychium boreale J. Milde		220	Species	Botrychium		
7e368433ff0e00c607107fb056a084d7	Botrychium lunaria	J. Milde	Botrychium lunaria J. Milde		220	false										6182589	Botrychium lunaria J. Milde		220	Species	Botrychium		
76934335d193a4b796a31b53d9c879ff	Botrychium matricariaefolium	Al. Braun.	Botrychium matricariaefolium Al. Braun.		220	false										365161	Botrychium matricariaefolium Al. Braun.		220	Species	Botrychium		
8e52e4d0a428f56390fb806179434c9a	Botrychium virginianum	Sw.	Botrychium virginianum Sw.		220	false										6128666	Botrychium virginianum Sw.		220	Species	Botrychium		
35c7ff73cfa1bf44f18e077fd8713467	Bouchea prismatica	Kuntze	Bouchea prismatica Kuntze		220	false										6127469	Bouchea prismatica Kuntze		220	Species	Bouchea		
00a049d4d96270b397a093189df5343a	Bouchea pseudogavao		Bouchea pseudogavao 		220	false										6181382	Bouchea pseudogavao		220	Species	Bouchea		
